complaint_id,resident_id,description,location,category,priority,status,timestamp,assigned_staff
CMP0239,RES546,Issue: Kitchen sink pipe leaking,Main Gate,Plumbing,Low,Assigned,2026-01-25 00:30:00,TECH27
CMP0240,RES937,Issue: Dead rat in parking,Block A,Cleanliness,Medium,Closed,2025-12-24 19:19:00,
CMP0241,RES990,cupboard handle loose please fix ASAP,Clubhouse,Carpentry,High,Closed,2026-01-07 20:02:00,TECH37
CMP0242,RES229,lift making strange noise please fix ASAP,Block C,Elevator,Medium,Assigned,2026-02-13 23:11:00,
CMP0243,RES522,Corridor sweeping missed,Clubhouse,Cleanliness,Medium,Assigned,2026-01-09 16:37:00,TECH17
CMP0244,RES445,Overhead tank overflowing,Clubhouse,Plumbing,Medium,In Progress,2026-02-26 20:52:00,
CMP0245,RES106,Issue: Lift fan not working,Main Gate,Elevator,Medium,In Progress,2026-03-03 11:11:00,TECH27
CMP0246,RES668,no water supply please fix ASAP,Block B,Plumbing,Low,Resolved,2026-01-09 11:37:00,TECH44
CMP0247,RES864,switchboard sparking please fix ASAP,Block B,Electrical,Critical,Assigned,2026-01-10 04:00:00,TECH21
CMP0248,RES329,Issue: Main gate unattended,Clubhouse,Security,Critical,Open,2026-02-20 02:44:00,
CMP0249,RES628,Garbage not collected,Block B,Cleanliness,High,Closed,2026-02-17 10:28:00,TECH12
CMP0250,RES841,dead rat in parking please fix ASAP,Block B,Cleanliness,Critical,Open,2026-01-23 08:21:00,TECH29
